,IDCliente,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalSpend,Churn,Codigo
1869,7010-BRBUU,Masculino,0,Yes,Yes,72,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,24.1,1734.65,No,
4528,9688-YGXVR,Feminino,0,No,No,44,Yes,No,Fibra,No,Yes,Yes,No,Yes,No,Mensal,Yes,CartaoCredito,88.15,3973.2,No,
6344,9286-DOJGF,Feminino,1,Yes,No,38,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,DebitoAutomatico,74.95,2869.85,Yes,
6739,6994-KERXL,Masculino,0,No,No,4,Yes,No,DSL,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,55.9,238.5,No,
432,2181-UAESM,Masculino,0,No,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Mensal,No,BoletoEletronico,53.45,119.5,No,
2215,4312-GVYNH,Feminino,0,Yes,No,70,No,SemTelefone,DSL,Yes,No,Yes,Yes,No,Yes,2 anos,Yes,DebitoAutomatico,49.85,3370.2,No,
5260,2495-KZNFB,Feminino,0,No,No,33,Yes,Yes,Fibra,Yes,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,90.65,2989.6,No,
6001,4367-NHWMM,Feminino,0,No,No,1,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,24.9,24.9,No,
1480,8898-KASCD,Masculino,0,No,No,39,No,SemTelefone,DSL,No,No,Yes,Yes,No,No,Anual,No,BoletoImpresso,35.55,1309.15,No,
5137,8016-NCFVO,Masculino,1,No,No,55,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,Mensal,Yes,BoletoEletronico,116.5,6382.55,No,
3169,4578-PHJYZ,Masculino,0,Yes,Yes,52,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Anual,Yes,BoletoEletronico,68.75,3482.85,No,
4653,2091-MJTFX,Feminino,0,Yes,Yes,30,No,SemTelefone,DSL,No,No,No,Yes,Yes,Yes,Mensal,No,CartaoCredito,51.2,1561.5,Yes,
2850,2277-DJJDL,Masculino,1,Yes,No,60,Yes,Yes,Fibra,No,No,No,Yes,Yes,Yes,Mensal,Yes,BoletoEletronico,99.0,6017.9,No,
1760,2511-MORQY,Masculino,0,Yes,Yes,50,Yes,Yes,DSL,No,No,Yes,No,No,No,Anual,No,DebitoAutomatico,54.9,2614.1,No,
604,2731-GJRDG,Feminino,0,No,No,32,Yes,Yes,Fibra,Yes,No,Yes,Yes,Yes,Yes,Anual,Yes,DebitoAutomatico,109.55,3608,No,
2157,1784-EZDKJ,Masculino,0,Yes,No,51,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Anual,Yes,DebitoAutomatico,106.8,5498.8,No,
3132,2468-SJFLM,Masculino,0,No,No,1,Yes,No,Fibra,No,No,No,Yes,No,No,Mensal,Yes,BoletoImpresso,74.3,74.3,No,
6765,5115-SQAAU,Feminino,0,Yes,,69,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,DebitoAutomatico,25.6,1673.4,No,
